product_line,unique_customers,total_tickets,open_tickets,critical_tickets,open_rate,critical_rate,avg_satisfaction,days_since_activity,plan_tier__SYNTH,mrr__SYNTH,renewal_date__SYNTH,days_to_renewal__SYNTH,status,last_action,last_action_at
GoPro Hero,228,228,148,114,0.649,0.5,3.19,1086,Enterprise,12927,2026-11-05,165,Active,flagged_re_engagement,2026-05-27T19:05:26Z
Canon EOS,240,240,157,137,0.654,0.571,2.94,1087,Enterprise,12302,2026-10-08,137,Active,,
Amazon Echo,221,221,149,109,0.674,0.493,3.04,1086,Enterprise,12233,2026-06-19,26,Active,,
Philips Hue Lights,221,221,153,112,0.692,0.507,3.03,1087,Enterprise,11554,2026-10-07,136,Active,,
Nest Thermostat,225,225,152,106,0.676,0.471,3.08,1086,Enterprise,10525,2026-07-24,61,Active,,
Autodesk AutoCAD,196,196,132,107,0.673,0.546,3.2,1087,Pro,5795,2026-09-28,127,Active,,
LG Washing Machine,208,208,140,111,0.673,0.534,3.0,1087,Pro,5784,2026-11-14,174,Active,,
Nintendo Switch Pro Controller,203,203,154,96,0.759,0.473,3.18,1087,Pro,5776,2026-06-30,37,Active,,
Dyson Vacuum Cleaner,198,198,139,104,0.702,0.525,3.22,1087,Pro,5685,2026-06-11,18,Active,,
Lenovo ThinkPad,183,183,136,91,0.743,0.497,3.06,1086,Pro,5609,2026-06-13,20,Active,,
Amazon Kindle,198,198,132,86,0.667,0.434,2.89,1086,Pro,5531,2026-07-08,45,Active,,
iPhone,212,212,130,111,0.613,0.524,3.12,1087,Pro,5473,2026-09-12,111,Active,,
Google Pixel,203,203,134,114,0.66,0.562,3.22,1086,Pro,5462,2026-09-15,114,Active,,
Fitbit Versa Smartwatch,191,191,128,98,0.67,0.513,2.54,1086,Pro,5451,2026-11-09,169,Active,flagged_re_engagement,2026-05-27T20:37:32Z
Bose SoundLink Speaker,197,197,133,107,0.675,0.543,2.89,1086,Pro,5368,2026-07-02,39,Active,,
MacBook Pro,186,186,132,86,0.71,0.462,3.13,1086,Pro,5351,2026-11-15,175,Active,,
Adobe Photoshop,181,181,118,87,0.652,0.481,2.97,1087,Pro,5341,2026-06-30,37,Active,,
Bose QuietComfort,190,190,122,86,0.642,0.453,2.82,1086,Pro,5312,2026-06-24,31,Active,,
LG OLED,213,213,140,115,0.657,0.54,2.77,1087,Pro,5305,2026-10-13,142,Active,,
Apple AirPods,213,213,139,114,0.653,0.535,2.81,1086,Pro,5169,2026-08-05,73,Active,,
Nikon D,204,204,135,100,0.662,0.49,3.13,1086,Pro,5136,2026-10-24,153,Active,,
Sony Xperia,217,217,139,103,0.641,0.475,2.69,1087,Pro,5107,2026-06-08,15,Active,flagged_re_engagement,2026-05-27T20:37:32Z
Fitbit Charge,202,202,139,103,0.688,0.51,2.89,1087,Pro,5048,2026-11-14,174,Active,,
HP Pavilion,200,200,138,91,0.69,0.455,3.02,1086,Pro,5021,2026-10-29,158,Active,,
Sony 4K HDR TV,210,210,136,93,0.648,0.443,3.07,1086,Pro,4670,2026-10-31,160,Active,,
Roomba Robot Vacuum,216,216,146,118,0.676,0.546,3.04,1086,Pro,4656,2026-06-06,13,Active,,
Microsoft Surface,190,190,129,90,0.679,0.474,2.95,1086,Pro,4650,2026-06-04,11,Active,,
Garmin Forerunner,208,208,138,102,0.663,0.49,3.21,1086,Pro,4597,2026-10-20,149,Active,,
Xbox,187,187,127,96,0.679,0.513,2.9,1086,Pro,4583,2026-08-16,84,Active,,
Dell XPS,185,185,137,90,0.741,0.486,2.75,1087,Pro,4434,2026-06-09,16,Active,,
PlayStation,192,192,127,95,0.661,0.495,2.88,1086,Pro,4433,2026-09-15,114,Active,,
LG Smart TV,219,219,151,103,0.689,0.47,3.03,1086,Pro,4397,2026-11-13,173,Active,,
GoPro Action Camera,183,183,124,88,0.678,0.481,2.75,1086,Pro,4111,2026-06-10,17,Active,,
Sony PlayStation,202,202,137,93,0.678,0.46,3.18,1087,Pro,4110,2026-07-27,64,Active,,
Microsoft Office,200,200,120,99,0.6,0.495,3.14,1086,Pro,4037,2026-10-01,130,Active,,
Samsung Galaxy,194,194,137,102,0.706,0.526,2.98,1087,Pro,4026,2026-08-21,89,Active,,
Samsung Soundbar,188,188,126,100,0.67,0.532,2.89,1086,Pro,3892,2026-06-24,31,Active,,
Canon DSLR Camera,206,206,125,102,0.607,0.495,3.07,1086,Pro,3888,2026-10-20,149,Active,,
Asus ROG,187,187,126,87,0.674,0.465,3.2,1087,Pro,3811,2026-07-20,57,Active,,
Google Nest,198,198,135,99,0.682,0.5,3.0,1087,Pro,3743,2026-07-22,59,Active,,
Microsoft Xbox Controller,196,196,138,93,0.704,0.474,2.79,1087,Pro,3698,2026-11-13,173,Active,,
Nintendo Switch,178,178,122,76,0.685,0.427,2.86,1087,Basic,1406,2026-10-23,152,Active,,
